,harga,judul,kota,link,tanggal
0,Rp 600.000,Cover/Sarung Jok Mobil,Balikpapan Kota,https://www.olx.co.id/iklan/cover-sarung-jok-mobil-IDztgkH.html?ad_type=HL#61eafb9342;promoted,kemarin
1,Rp 250.000,Rental mobil dan motor depok murah lepas kunci,Depok Kota,https://www.olx.co.id/iklan/rental-mobil-dan-motor-depok-murah-lepas-kunci-IDz1Vsa.html?ad_type=HL#61eafb9342;promoted,18  Mar
2,Rp 142.000,"Sewa mobil box / sewa mobil small box, Bergaransi, Aman dan terperca",Cimahi Kota,https://www.olx.co.id/iklan/sewa-mobil-box-sewa-mobil-small-box-bergaransi-aman-dan-terperca-IDyLHXH.html?ad_type=HL#61eafb9342;promoted,19  Feb
3,Rp 4.500.000,velg mobil rally jd8166 hsr import r16 grey buat estilo ignis evalia,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-rally-jd8166-hsr-import-r16-grey-buat-estilo-ignis-evalia-IDzyXER.html?ad_type=OR#61eafb9342,11:04
4,Rp 400.000,sarung jok mobil,Bekasi Kota,https://www.olx.co.id/iklan/sarung-jok-mobil-IDzyXE3.html?ad_type=OR#61eafb9342,11:04
5,Rp 4.000.000,"banyak  pilihan velg  r15 buat mobil agya,brio,xenia",Bogor Kota,https://www.olx.co.id/iklan/banyak-pilihan-velg-r15-buat-mobil-agya-brio-xenia-IDzyXDc.html?ad_type=OR#61eafb9342,11:04
6,Rp 3.600.000,"velg racing replika import r15 untuk mobil brio,agya,cayla",Bogor Kota,https://www.olx.co.id/iklan/velg-racing-replika-import-r15-untuk-mobil-brio-agya-cayla-IDzyXBy.html?ad_type=OR#61eafb9342,11:03
7,Rp 1.200.000,samping blkng blok o2 organic kaca film mobil diskon bulan ini,Semarang Kota,https://www.olx.co.id/iklan/samping-blkng-blok-o2-organic-kaca-film-mobil-diskon-bulan-ini-IDzyXCh.html?ad_type=OR#61eafb9342,11:03
8,Rp 5.600.000,penjual velg mobil terlaris hsr wheels BREYTON GREY RING 17,Bogor Kota,https://www.olx.co.id/iklan/penjual-velg-mobil-terlaris-hsr-wheels-breyton-grey-ring-17-IDzyVEi.html?ad_type=OR#61eafb9342,11:03
9,Rp 4.800.000,"velg rs bagus buat mobil vios R16X89 pcd 8x100-114,3 gold",Tangerang Kota,https://www.olx.co.id/iklan/velg-rs-bagus-buat-mobil-vios-r16x89-pcd-8x100-114-3-gold-IDzyVE2.html?ad_type=OR#61eafb9342,11:03
10,Rp 15.800.000,"Jual Velg Mobil bisa Gratis kirim R22 H6x139,7 + Ban accelera A/T",Ambon Kota,https://www.olx.co.id/iklan/jual-velg-mobil-bisa-gratis-kirim-r22-h6x139-7-ban-accelera-a-t-IDzyVUl.html?ad_type=OR#61eafb9342,11:03
11,Rp 630.000,Achilles DH HT2 215/65 R16 Ban Mobil Alphard New Terios - Raja Ban,Bandung Kota,https://www.olx.co.id/iklan/achilles-dh-ht2-215-65-r16-ban-mobil-alphard-new-terios-raja-ban-IDzyX1O.html?ad_type=OR#61eafb9342,11:03
12,Rp 5.600.000,Jual velg Racing Jakarta Barat Ring17 Buat Mobil Honda City,Jakarta Barat,https://www.olx.co.id/iklan/jual-velg-racing-jakarta-barat-ring17-buat-mobil-honda-city-IDzyXbN.html?ad_type=OR#61eafb9342,11:03
13,Rp 4.300.000,Velg Mobil OZ Super Forgiata Import Berkualitas R16 H8 (BRM),Jakarta Selatan,https://www.olx.co.id/iklan/velg-mobil-oz-super-forgiata-import-berkualitas-r16-h8-brm-IDzyXb4.html?ad_type=OR#61eafb9342,11:03
14,Rp 750.000,mobil di tanjakan kurang bertenaga atasi dengan pasang iseo power,Prabumulih Kota,https://www.olx.co.id/iklan/mobil-di-tanjakan-kurang-bertenaga-atasi-dengan-pasang-iseo-power-IDzyXBM.html?ad_type=OR#61eafb9342,11:03
15,Rp 700.000,"Ise Power, Garansi 5 th dijamin awet dan mobil nyamn, pkai Iseo Power",Sukoharjo Kab.,https://www.olx.co.id/iklan/ise-power-garansi-5-th-dijamin-awet-dan-mobil-nyamn-pkai-iseo-power-IDzyVHo.html?ad_type=OR#61eafb9342,11:03
16,Rp 5.800.000,"Velg Mobil Murah HIROSHIMA JD7028 HSR R17X75/85 H8X100-114,3 ET40 SMG",Palembang Kota,https://www.olx.co.id/iklan/velg-mobil-murah-hiroshima-jd7028-hsr-r17x75-85-h8x100-114-3-et40-smg-IDzyXdJ.html?ad_type=OR#61eafb9342,11:03
17,Rp 1.400.000,kikim vrsi jawon | Roffrail Activo Mobil : XPANDER,Yogyakarta Kota,https://www.olx.co.id/iklan/kikim-vrsi-jawon-roffrail-activo-mobil-xpander-IDzyVGP.html?ad_type=OR#61eafb9342,11:03
18,Rp 225.000,kikim vrsi jawon | Side Air Flow Mobil : X-PANDER,Yogyakarta Kota,https://www.olx.co.id/iklan/kikim-vrsi-jawon-side-air-flow-mobil-x-pander-IDzyVPK.html?ad_type=OR#61eafb9342,11:03
19,Rp 197.500.000,[Mobil Baru] Mitsubishi Colt L300 Pickup Flat Bed,Palembang Kota,https://www.olx.co.id/iklan/mobil-baru-mitsubishi-colt-l300-pickup-flat-bed-IDzozVv.html?ad_type=HL#773885e671;promoted,kemarin
20,Rp 119.000.000,Dijual Mobil Avanza 2012 MT,Serang Kota,https://www.olx.co.id/iklan/dijual-mobil-avanza-2012-mt-IDzvk6B.html?ad_type=HL#773885e671;promoted,7  Mei
21,Rp 260.000.000,Mobil Siap Mudik,Tangerang Selatan Kota,https://www.olx.co.id/iklan/mobil-siap-mudik-IDzqssD.html?ad_type=HL#773885e671;promoted,27  Apr
22,Rp 225.000,kikim vrsi jawon | Sillplate Belakang Karet Mobil : X-PANDER,Yogyakarta Kota,https://www.olx.co.id/iklan/kikim-vrsi-jawon-sillplate-belakang-karet-mobil-x-pander-IDzyX0Q.html?ad_type=OR#773885e671,11:03
23,Rp 59.000,Rak belakang jok mobil,Sidoarjo  Kab.,https://www.olx.co.id/iklan/rak-belakang-jok-mobil-IDzyXz3.html?ad_type=OR#773885e671,11:02
24,Rp 229.750.000,[Mobil Baru] suzuki all new ertiga sport 2019 Promo ramadhan  diskon puluhan juta,Bandung Kota,https://www.olx.co.id/iklan/mobil-baru-suzuki-all-new-ertiga-sport-2019-promo-ramadhan-diskon-puluhan-juta-IDzom6T.html?ad_type=OR#773885e671,11:02
25,Rp 4.800.000,Velg Mobil Murah KAWAI 133 HSR Ring 16,Padang Kota,https://www.olx.co.id/iklan/velg-mobil-murah-kawai-133-hsr-ring-16-IDzyXz4.html?ad_type=OR#773885e671,11:02
26,Rp 5.500.000,Buat Penampilan Mobil Jadi Waw Pakai Ring 17 Vossen Pcd 10x100/114.3,Tangerang Kota,https://www.olx.co.id/iklan/buat-penampilan-mobil-jadi-waw-pakai-ring-17-vossen-pcd-10x100-114-3-IDzyXyD.html?ad_type=OR#773885e671,11:02
27,Rp 4.500.000,velg mobil ring 16 hsr tipe rally jd8166 import untuk ayla etios veloz,Binjai Kota,https://www.olx.co.id/iklan/velg-mobil-ring-16-hsr-tipe-rally-jd8166-import-untuk-ayla-etios-veloz-IDzyXyC.html?ad_type=OR#773885e671,11:02
28,Rp 10.500.000,"velg keren model centerline untuk mobil crv,hrv r20",Bogor Kota,https://www.olx.co.id/iklan/velg-keren-model-centerline-untuk-mobil-crv-hrv-r20-IDzyXvY.html?ad_type=OR#773885e671,11:02
29,Rp 4.500.000,velg mobil tipe rally ring 16 lebar 7 hole 8 silver HSR jazz brio atoz,Binjai Kota,https://www.olx.co.id/iklan/velg-mobil-tipe-rally-ring-16-lebar-7-hole-8-silver-hsr-jazz-brio-atoz-IDzyXxz.html?ad_type=OR#773885e671,11:02
30,Rp 475.000,Bridgestone B391 165/80 R13 Ban Mobil Granmax Xenia Li Futura Avanza E,Bandung Kota,https://www.olx.co.id/iklan/bridgestone-b391-165-80-r13-ban-mobil-granmax-xenia-li-futura-avanza-e-IDzyXyn.html?ad_type=OR#773885e671,11:02
31,Rp 4.000.000,"Velg Mobil HSR Murah Ring 15 type CELTIC JD5097 HSR R15X7 H5X114,3 ET",Bekasi Kota,https://www.olx.co.id/iklan/velg-mobil-hsr-murah-ring-15-type-celtic-jd5097-hsr-r15x7-h5x114-3-et-IDzyXxE.html?ad_type=OR#773885e671,11:02
32,Rp 280.000,Selimut mobil/penutup/cover mobil terbaik 42,Jakarta Barat,https://www.olx.co.id/iklan/selimut-mobil-penutup-cover-mobil-terbaik-42-IDzyXxR.html?ad_type=OR#773885e671,11:02
33,Rp 195.000.000,Mobil Honda BRV E tahun 2016 M/T,Ogan Komering Ilir Kab.,https://www.olx.co.id/iklan/mobil-honda-brv-e-tahun-2016-m-t-IDzyX70.html?ad_type=OR#773885e671,11:02
34,Rp 4.500.000,"velg mobil HSR primus ring 15 pcd 5x114,3 bisa estilo sirion xenia new",Binjai Kota,https://www.olx.co.id/iklan/velg-mobil-hsr-primus-ring-15-pcd-5x114-3-bisa-estilo-sirion-xenia-new-IDzyXvp.html?ad_type=OR#773885e671,11:02
